apaeb	1-2004	11.396034946236556	14.469287634408609
apaeb	1-2005	13.130443548387088	14.898655010087444
apaeb	1-2007	12.928504201680683	15.406386554621808
apaeb	1-2009	-23.502531181217897	14.620174848688606
apaeb	1-2017	15.531942107034654	17.689643577673245
apaeb	1-2021	12.570900537634385	14.459394957983255
apaeb	1-2022	11.763944892473072	15.508036314727692
apaeb	1-2023	14.822110215053776	16.34470588235284
apaeb	10-2003	21.05477150537634	24.582851378614652
apaeb	10-2004	22.655745967741925	26.13467741935485
apaeb	10-2005	20.7757056451613	24.613391655450894
apaeb	10-2007	22.547244623655867	25.0745375042045
apaeb	10-2009	22.32311827956993	23.38355749831882
apaeb	10-2017	22.513911290322543	25.173823924731277
apaeb	10-2021	-8.224235807860287	25.981210084033492
apaeb	10-2022	20.207997311827967	23.289176470588178
apaeb	10-2023	21.523151881720413	24.415702757229298
apaeb	11-2003	18.120736366794024	21.150312717164653
apaeb	11-2004	17.76549687282832	21.335024322446156
apaeb	11-2005	17.194722222222264	19.951458333333342
apaeb	11-2007	15.548750000000021	19.011149704758573
apaeb	11-2009	15.946666666666665	16.044386513729552
apaeb	11-2017	17.336145833333354	20.488225078152162
apaeb	11-2021	15.377881944444441	19.56351633078535
apaeb	11-2022	17.889097222222215	19.77631944444448
apaeb	11-2023	16.640868055555543	20.127995831886
apaeb	12-2003	10.785147849462389	13.722782258064546
apaeb	12-2004	11.630477150537633	14.11896435776732
apaeb	12-2005	11.505846774193548	14.427486559139808
apaeb	12-2007	14.87372311827952	17.35201748486893
apaeb	12-2009	10.908467741935485	10.76785474108945
apaeb	12-2017	13.754267473118295	16.952974789915984
apaeb	12-2021	17.53615591397853	19.770060483870953
apaeb	12-2022	14.102217741935496	17.521747899159664
apaeb	12-2023	14.149395161290307	15.431283602150366
apaeb	2-2004	11.769062163133313	14.409698275862082
apaeb	2-2005	13.950483630952347	16.272300819061755
apaeb	2-2007	12.20375744047619	14.434648306661726
apaeb	2-2009	13.332329317269108	15.022925195385225
apaeb	2-2017	17.250186011904763	19.197432080386854
apaeb	2-2021	13.980617559523788	15.508857461853388
apaeb	2-2022	14.197277135397199	16.39579143389195
apaeb	2-2023	17.47373511904761	19.31508941877791
apaeb	3-2003	18.564654333008736	20.27963709677417
apaeb	3-2004	16.90144489247311	18.958534946236583
apaeb	3-2005	15.472907563025169	18.0268325487559
apaeb	3-2007	17.3047043010753	20.231159663865572
apaeb	3-2009	16.296673387096774	19.620907563025252
apaeb	3-2017	17.692338709677454	20.02063865546229
apaeb	3-2021	17.50255376344084	20.769378151260565
apaeb	3-2022	18.109475806451574	20.373470073974314
apaeb	3-2023	18.91636424731186	21.757176470588302
apaeb	4-2003	19.303958333333327	22.466574009728973
apaeb	4-2004	16.930759162303662	22.127241139680354
apaeb	4-2005	18.09697916666666	21.032361111111115
apaeb	4-2007	18.41350694444448	21.30962473940237
apaeb	4-2009	19.46961805555558	21.915213615838862
apaeb	4-2017	21.329375000000038	24.299687499999916
apaeb	4-2021	19.156666666666666	21.80607849947899
apaeb	4-2022	20.64163194444441	22.641673856773103
apaeb	4-2023	21.064618055555513	23.548975338659226
apaeb	5-2003	24.669690860215038	27.410430686406492
apaeb	5-2004	23.458938172043013	27.027370544720906
apaeb	5-2005	22.32237903225808	25.414717741935345
apaeb	5-2007	23.178225806451586	25.847798319327783
apaeb	5-2009	23.721807795698886	25.924747814391264
apaeb	5-2017	23.748756720430144	25.944018817204167
apaeb	5-2021	23.350134408602074	25.93304201680667
apaeb	5-2022	24.67167338709681	27.260686637495926
apaeb	5-2023	23.572412634408543	26.30597414177428
apaeb	6-2003	26.021249999999913	28.363585823488553
apaeb	6-2004	26.438680555555553	29.69006944444442
apaeb	6-2005	26.16000000000002	28.6702571230022
apaeb	6-2007	25.95253472222223	28.73547602501735
apaeb	6-2009	27.117083333333333	29.731729428172844
apaeb	6-2017	26.00090277777781	28.38786191536745
apaeb	6-2021	26.335625000000068	28.766337854500552
apaeb	6-2022	27.91293463143255	30.08238359972205
apaeb	6-2023	26.69673611111114	28.137686696769656
apaeb	7-2003	26.06502016129027	28.466778749159424
apaeb	7-2004	26.756686827956987	30.16146603900466
apaeb	7-2005	27.646924369747854	30.313920645595125
apaeb	7-2007	27.283904569892417	30.028624285233796
apaeb	7-2009	26.760887096774216	29.53407332660605
apaeb	7-2017	27.542517638321517	30.47399193548369
apaeb	7-2021	27.323151881720424	29.700505747126343
apaeb	7-2022	27.90120967741942	30.593613445377954
apaeb	7-2023	28.5062205783457	30.625840053763305
apaeb	8-2003	26.604166666666675	29.036228956228943
apaeb	8-2004	26.533534946236575	29.998789509078705
apaeb	8-2005	-3.398039215686294	29.849361129791493
apaeb	8-2007	27.958501344085942	31.295627312478853
apaeb	8-2009	26.397177419354804	29.646669029057175
apaeb	8-2017	27.458333333333353	30.22108271687954
apaeb	8-2021	27.446505376344	29.798285714285914
apaeb	8-2022	27.050940860215118	30.400470588235063
apaeb	8-2023	29.412205783456617	31.827144298688058
apaeb	9-2003	24.7659027777778	28.233395348837103
apaeb	9-2004	25.149687499999935	27.455524669909618
apaeb	9-2005	26.69864986498651	29.142251563585752
apaeb	9-2007	26.070034722222236	29.289913043478336
apaeb	9-2009	25.6827083333333	28.978353022932804
apaeb	9-2017	25.645312500000006	28.78258287976268
apaeb	9-2021	25.67474318101307	27.858631469260438
apaeb	9-2022	26.134548611111075	28.450434178534177
apaeb	9-2023	26.148194444444446	29.362243834664913
cbvtc	1-2002	6.256317204301078	5.373600809170599
